sentiment,sentence_stemmed,sentence_stemmed_str
0,"['frozen', 'puck', 'disgust', 'worst', 'peopl', 'behind', 'regist']",frozen puck disgust worst peopl behind regist
1,"['thing', 'like', 'prime', 'rib', 'dessert', 'section']",thing like prime rib dessert section
0,"['bad', 'food', 'damn', 'gener']",bad food damn gener
1,"['burger', 'good', 'beef', 'cook', 'right']",burger good beef cook right
1,"['want', 'sandwich', 'go', 'firehous']",want sandwich go firehous
1,"['side', 'greek', 'salad', 'greek', 'dress', 'tasti', 'pita', 'hummu', 'refresh']",side greek salad greek dress tasti pita hummu refresh
1,"['order', 'duck', 'rare', 'pink', 'tender', 'insid', 'nice', 'char', 'outsid']",order duck rare pink tender insid nice char outsid
1,"['came', 'run', 'us', 'realiz', 'husband', 'left', 'sunglass', 'tabl']",came run us realiz husband left sunglass tabl
1,"['chow', 'mein', 'good']",chow mein good
0,"['horribl', 'attitud', 'toward', 'custom', 'talk', 'one', 'custom', 'dont', 'enjoy', 'food']",horribl attitud toward custom talk one custom dont enjoy food
1,"['portion', 'huge']",portion huge
1,"['love', 'itfriendli', 'server', 'great', 'food', 'wonder', 'imagin', 'menu']",love itfriendli server great food wonder imagin menu
0,"['heart', 'attack', 'grill', 'downtown', 'vega', 'absolut', 'flatlin', 'excus', 'restaur']",heart attack grill downtown vega absolut flatlin excus restaur
0,"['much', 'seafood', 'like', 'string', 'pasta', 'bottom']",much seafood like string pasta bottom
1,"['salad', 'right', 'amount', 'sauc', 'power', 'scallop', 'perfectli', 'cook']",salad right amount sauc power scallop perfectli cook
0,"['rip', 'banana', 'rip', 'petrifi', 'tasteless']",rip banana rip petrifi tasteless
0,"['least', 'think', 'refil', 'water', 'struggl', 'wave', 'minut']",least think refil water struggl wave minut
1,"['place', 'receiv', 'star', 'appet']",place receiv star appet
1,"['cocktail', 'handmad', 'delici']",cocktail handmad delici
1,"['wed', 'definit', 'go', 'back']",wed definit go back
1,"['glad', 'found', 'place']",glad found place
1,"['great', 'food', 'servic', 'huge', 'portion', 'give', 'militari', 'discount']",great food servic huge portion give militari discount
1,"['alway', 'great', 'time', 'do', 'gringo']",alway great time do gringo
1,"['updatew', 'back', 'second', 'time', 'still', 'amaz']",updatew back second time still amaz
0,"['got', 'food', 'appar', 'never', 'heard', 'salt', 'batter', 'fish', 'chewi']",got food appar never heard salt batter fish chewi
1,"['great', 'way', 'finish', 'great']",great way finish great
1,"['deal', 'includ', 'tast', 'drink', 'jeff', 'went', 'beyond', 'expect']",deal includ tast drink jeff went beyond expect
1,"['realli', 'realli', 'good', 'rice', 'time']",realli realli good rice time
0,"['servic', 'meh']",servic meh
0,"['took', 'min', 'get', 'milkshak', 'noth', 'chocol', 'milk']",took min get milkshak noth chocol milk
0,"['guess', 'known', 'place', 'would', 'suck', 'insid', 'excalibur', 'didnt', 'use', 'common', 'sens']",guess known place would suck insid excalibur didnt use common sens
0,"['scallop', 'dish', 'quit', 'appal', 'valu', 'well']",scallop dish quit appal valu well
0,"['time', 'bad', 'custom', 'servic']",time bad custom servic
1,"['sweet', 'potato', 'fri', 'good', 'season', 'well']",sweet potato fri good season well
1,"['today', 'second', 'time', 'ive', 'lunch', 'buffet', 'pretti', 'good']",today second time ive lunch buffet pretti good
0,"['much', 'good', 'food', 'vega', 'feel', 'cheat', 'wast', 'eat', 'opportun', 'go', 'rice', 'compani']",much good food vega feel cheat wast eat opportun go rice compani
0,"['come', 'like', 'experienc', 'underwhelm', 'relationship', 'parti', 'cant', 'wait', 'person', 'ask', 'break']",come like experienc underwhelm relationship parti cant wait person ask break
0,"['walk', 'place', 'smell', 'like', 'old', 'greas', 'trap', 'other', 'eat']",walk place smell like old greas trap other eat
0,"['turkey', 'roast', 'beef', 'bland']",turkey roast beef bland
1,['place'],place
0,"['pan', 'cake', 'everyon', 'rave', 'tast', 'like', 'sugari', 'disast', 'tailor', 'palat', 'six', 'year', 'old']",pan cake everyon rave tast like sugari disast tailor palat six year old
1,"['love', 'pho', 'spring', 'roll', 'oh', 'yummi', 'tri']",love pho spring roll oh yummi tri
0,"['poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tender', 'unsatisfi']",poor batter meat ratio made chicken tender unsatisfi
1,"['say', 'food', 'amaz']",say food amaz
1,"['omelet', 'die']",omelet die
1,"['everyth', 'fresh', 'delici']",everyth fresh delici
0,"['summari', 'larg', 'disappoint', 'dine', 'experi']",summari larg disappoint dine experi
1,"['like', 'realli', 'sexi', 'parti', 'mouth', 'your', 'outrag', 'flirt', 'hottest', 'person', 'parti']",like realli sexi parti mouth your outrag flirt hottest person parti
0,"['never', 'hard', 'rock', 'casino', 'never', 'ever', 'step', 'forward']",never hard rock casino never ever step forward
1,"['best', 'breakfast', 'buffet']",best breakfast buffet
0,"['say', 'bye', 'bye', 'tip', 'ladi']",say bye bye tip ladi
0,"['well', 'never', 'go']",well never go
1,['back'],back
1,"['food', 'arriv', 'quickli']",food arriv quickli
0,['good'],good
1,"['side', 'cafe', 'serv', 'realli', 'good', 'food']",side cafe serv realli good food
1,"['server', 'fantast', 'found', 'wife', 'love', 'roast', 'garlic', 'bone', 'marrow', 'ad', 'extra', 'meal', 'anoth', 'marrow', 'go']",server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go
1,"['good', 'thing', 'waiter', 'help', 'kept', 'bloddi', 'mari', 'come']",good thing waiter help kept bloddi mari come
1,"['best', 'buffet', 'town', 'price', 'cannot', 'beat']",best buffet town price cannot beat
1,"['love', 'mussel', 'cook', 'wine', 'reduct', 'duck', 'tender', 'potato', 'dish', 'delici']",love mussel cook wine reduct duck tender potato dish delici
1,"['one', 'better', 'buffet']",one better buffet
1,"['went', 'tigerlilli', 'fantast', 'afternoon']",went tigerlilli fantast afternoon
1,"['food', 'delici', 'bartend', 'attent', 'person', 'got', 'great', 'deal']",food delici bartend attent person got great deal
1,"['ambienc', 'wonder', 'music', 'play']",ambienc wonder music play
1,"['go', 'back', 'next', 'trip']",go back next trip
1,"['sooooo', 'good']",sooooo good
0,"['real', 'sushi', 'lover', 'let', 'honest', 'yama', 'good']",real sushi lover let honest yama good
0,"['least', 'min', 'pass', 'us', 'order', 'food', 'arriv', 'wasnt', 'busi']",least min pass us order food arriv wasnt busi
1,"['realli', 'fantast', 'thai', 'restaur', 'definit', 'worth', 'visit']",realli fantast thai restaur definit worth visit
1,"['nice', 'spici', 'tender']",nice spici tender
1,"['good', 'price']",good price
1,['check'],check
0,"['pretti', 'gross']",pretti gross
0,"['ive', 'better', 'atmospher']",ive better atmospher
0,"['kind', 'hard', 'mess', 'steak']",kind hard mess steak
0,"['although', 'much', 'like', 'look', 'sound', 'place', 'actual', 'experi', 'bit', 'disappoint']",although much like look sound place actual experi bit disappoint
0,"['dont', 'know', 'place', 'manag', 'serv', 'blandest', 'food', 'ever', 'eaten', 'prepar', 'indian', 'cuisin']",dont know place manag serv blandest food ever eaten prepar indian cuisin
0,"['worst', 'servic', 'boot', 'least', 'worri']",worst servic boot least worri
1,"['servic', 'fine', 'waitress', 'friendli']",servic fine waitress friendli
1,"['guy', 'steak', 'steak', 'love', 'son', 'steak', 'best', 'worst', 'place', 'said', 'best', 'steak', 'he', 'ever', 'eaten']",guy steak steak love son steak best worst place said best steak he ever eaten
1,"['thought', 'youd', 'ventur', 'away', 'get', 'good', 'sushi', 'place', 'realli', 'hit', 'spot', 'night']",thought youd ventur away get good sushi place realli hit spot night
0,"['host', 'staff', 'lack', 'better', 'word', 'bitch']",host staff lack better word bitch
0,"['bland', 'like', 'place', 'number', 'reason', 'dont', 'want', 'wast', 'time', 'bad', 'review', 'ill', 'leav']",bland like place number reason dont want wast time bad review ill leav
1,"['phenomen', 'food', 'servic', 'ambianc']",phenomen food servic ambianc
0,"['wouldnt', 'return']",wouldnt return
1,"['definit', 'worth', 'ventur', 'strip', 'pork', 'belli', 'return', 'next', 'time', 'im', 'vega']",definit worth ventur strip pork belli return next time im vega
0,"['place', 'way', 'overpr', 'mediocr', 'food']",place way overpr mediocr food
1,"['penn', 'vodka', 'excel']",penn vodka excel
1,"['good', 'select', 'food', 'includ', 'massiv', 'meatloaf', 'sandwich', 'crispi', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasti', 'burger']",good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger
0,"['manag', 'rude']",manag rude
1,"['delici', 'nyc', 'bagel', 'good', 'select', 'cream', 'chees', 'real', 'lox', 'caper', 'even']",delici nyc bagel good select cream chees real lox caper even
1,"['great', 'subway', 'fact', 'good', 'come', 'everi', 'subway', 'meet', 'expect']",great subway fact good come everi subway meet expect
1,"['serious', 'solid', 'breakfast']",serious solid breakfast
1,"['one', 'best', 'bar', 'food', 'vega']",one best bar food vega
0,"['extrem', 'rude', 'realli', 'mani', 'restaur', 'would', 'love', 'dine', 'weekend', 'vega']",extrem rude realli mani restaur would love dine weekend vega
1,"['drink', 'never', 'empti', 'made', 'realli', 'great', 'menu', 'suggest']",drink never empti made realli great menu suggest
0,['dont'],dont
0,"['waiter', 'wasnt', 'help', 'friendli', 'rare', 'check', 'us']",waiter wasnt help friendli rare check us
0,"['husband', 'ate', 'lunch', 'disappoint', 'food', 'servic']",husband ate lunch disappoint food servic
0,"['red', 'curri', 'much', 'bamboo', 'shoot', 'wasnt', 'tasti']",red curri much bamboo shoot wasnt tasti
1,"['nice', 'blanket', 'moz', 'top', 'feel', 'like', 'done', 'cover', 'subpar', 'food']",nice blanket moz top feel like done cover subpar food
1,"['bathroom', 'clean', 'place', 'well', 'decor']",bathroom clean place well decor
0,"['menu', 'alway', 'chang', 'food', 'qualiti', 'go', 'servic', 'extrem', 'slow']",menu alway chang food qualiti go servic extrem slow
0,"['servic', 'littl', 'slow', 'consid', 'serv', 'peopl', 'server', 'food', 'come', 'slow', 'pace']",servic littl slow consid serv peopl server food come slow pace
0,"['give', 'thumb']",give thumb
0,"['watch', 'waiter', 'pay', 'lot', 'attent', 'tabl', 'ignor', 'us']",watch waiter pay lot attent tabl ignor us
1,"['fiancé', 'came', 'middl', 'day', 'greet', 'seat', 'right', 'away']",fiancé came middl day greet seat right away
1,"['great', 'restaur', 'mandalay', 'bay']",great restaur mandalay bay
0,"['wait', 'forti', 'five', 'minut', 'vain']",wait forti five minut vain
0,"['crostini', 'came', 'salad', 'stale']",crostini came salad stale
1,"['highlight', 'great', 'qualiti', 'nigiri']",highlight great qualiti nigiri
1,"['staff', 'friendli', 'joint', 'alway', 'clean']",staff friendli joint alway clean
1,"['differ', 'cut', 'piec', 'day', 'still', 'wonder', 'tender', 'well', 'well', 'flavor']",differ cut piec day still wonder tender well well flavor
1,"['order', 'voodoo', 'pasta', 'first', 'time', 'id', 'realli', 'excel', 'pasta', 'sinc', 'go', 'gluten', 'free', 'sever', 'year', 'ago']",order voodoo pasta first time id realli excel pasta sinc go gluten free sever year ago
1,"['place', 'good']",place good
0,"['unfortun', 'must', 'hit', 'bakeri', 'leftov', 'day', 'everyth', 'order', 'stale']",unfortun must hit bakeri leftov day everyth order stale
0,"['came', 'back', 'today', 'sinc', 'reloc', 'still', 'impress']",came back today sinc reloc still impress
1,"['seat', 'immedi']",seat immedi
1,"['menu', 'divers', 'reason', 'price']",menu divers reason price
0,"['avoid', 'cost']",avoid cost
1,"['restaur', 'alway', 'full', 'never', 'wait']",restaur alway full never wait
1,['delici'],delici
1,"['place', 'handsdown', 'one', 'best', 'place', 'eat', 'phoenix', 'metro', 'area']",place handsdown one best place eat phoenix metro area
0,"['dont', 'go', 'look', 'good', 'food']",dont go look good food
0,"['ive', 'never', 'treat', 'bad']",ive never treat bad
1,"['bacon', 'hella', 'salti']",bacon hella salti
0,"['also', 'order', 'spinach', 'avocado', 'salad', 'ingredi', 'sad', 'dress', 'liter', 'zero', 'tast']",also order spinach avocado salad ingredi sad dress liter zero tast
1,"['realli', 'vega', 'fine', 'dine', 'use', 'right', 'menu', 'hand', 'ladi', 'price', 'list']",realli vega fine dine use right menu hand ladi price list
1,"['waitress', 'friendli']",waitress friendli
1,"['lordi', 'khao', 'soi', 'dish', 'miss', 'curri', 'lover']",lordi khao soi dish miss curri lover
1,"['everyth', 'menu', 'terrif', 'also', 'thrill', 'made', 'amaz', 'accommod', 'vegetarian', 'daughter']",everyth menu terrif also thrill made amaz accommod vegetarian daughter
0,"['perhap', 'caught', 'night', 'judg', 'review', 'im', 'inspir', 'go', 'back']",perhap caught night judg review im inspir go back
0,"['servic', 'leav', 'lot', 'desir']",servic leav lot desir
1,"['atmospher', 'modern', 'hip', 'maintain', 'touch', 'cozi']",atmospher modern hip maintain touch cozi
1,"['weekli', 'haunt', 'definit', 'place', 'come', 'back', 'everi']",weekli haunt definit place come back everi
0,"['liter', 'sat', 'minut', 'one', 'ask', 'take', 'order']",liter sat minut one ask take order
0,"['burger', 'absolut', 'flavor', 'meat', 'total', 'bland', 'burger', 'overcook', 'charcoal', 'flavor']",burger absolut flavor meat total bland burger overcook charcoal flavor
0,"['also', 'decid', 'send', 'back', 'waitress', 'look', 'like', 'verg', 'heart', 'attack']",also decid send back waitress look like verg heart attack
0,"['dress', 'treat', 'rude']",dress treat rude
0,"['probabl', 'dirt']",probabl dirt
1,"['love', 'place', 'hit', 'spot', 'want', 'someth', 'healthi', 'lack', 'quantiti', 'flavor']",love place hit spot want someth healthi lack quantiti flavor
1,"['order', 'lemon', 'raspberri', 'ice', 'cocktail', 'also', 'incred']",order lemon raspberri ice cocktail also incred
0,"['food', 'suck', 'expect', 'suck', 'could', 'imagin']",food suck expect suck could imagin
1,"['interest', 'decor']",interest decor
1,"['realli', 'like', 'crepe', 'station']",realli like crepe station
1,"['also', 'serv', 'hot', 'bread', 'butter', 'home', 'made', 'potato', 'chip', 'bacon', 'bit', 'topveri', 'origin', 'good']",also serv hot bread butter home made potato chip bacon bit topveri origin good
1,"['watch', 'prepar', 'delici', 'food']",watch prepar delici food
1,"['egg', 'roll', 'fantast']",egg roll fantast
0,"['order', 'arriv', 'one', 'gyro', 'miss']",order arriv one gyro miss
1,"['salad', 'wing', 'ice', 'cream', 'dessert', 'left', 'feel', 'quit', 'satisfi']",salad wing ice cream dessert left feel quit satisfi
0,"['im', 'realli', 'sure', 'joey', 'vote', 'best', 'hot', 'dog', 'valley', 'reader', 'phoenix', 'magazin']",im realli sure joey vote best hot dog valley reader phoenix magazin
1,"['best', 'place', 'go', 'tasti', 'bowl', 'pho']",best place go tasti bowl pho
0,"['live', 'music', 'friday', 'total', 'blow']",live music friday total blow
0,"['ive', 'never', 'insult', 'felt', 'disrespect']",ive never insult felt disrespect
1,"['friendli', 'staff']",friendli staff
1,"['worth', 'drive']",worth drive
1,"['heard', 'good', 'thing', 'place', 'exceed', 'everi', 'hope', 'could', 'dream']",heard good thing place exceed everi hope could dream
1,"['food', 'great', 'serivc']",food great serivc
0,"['warm', 'beer', 'didnt', 'help']",warm beer didnt help
1,"['great', 'brunch', 'spot']",great brunch spot
1,"['servic', 'friendli', 'invit']",servic friendli invit
1,"['good', 'lunch', 'spot']",good lunch spot
0,"['ive', 'live', 'sinc', 'first', 'last', 'time', 'ive', 'step', 'foot', 'place']",ive live sinc first last time ive step foot place
0,"['worst', 'experi', 'ever']",worst experi ever
0,"['must', 'night', 'place']",must night place
1,"['side', 'delish', 'mix', 'mushroom', 'yukon', 'gold', 'pure', 'white', 'corn', 'beateou']",side delish mix mushroom yukon gold pure white corn beateou
0,"['bug', 'never', 'show', 'would', 'given', 'sure', 'side', 'wall', 'bug', 'climb', 'kitchen']",bug never show would given sure side wall bug climb kitchen
0,"['minut', 'wait', 'salad', 'realiz', 'wasnt', 'come', 'time', 'soon']",minut wait salad realiz wasnt come time soon
1,"['friend', 'love', 'salmon', 'tartar']",friend love salmon tartar
0,"['wont', 'go', 'back']",wont go back
1,"['extrem', 'tasti']",extrem tasti
1,"['waitress', 'good', 'though']",waitress good though
0,"['soggi', 'good']",soggi good
1,"['jamaican', 'mojito', 'delici']",jamaican mojito delici
0,"['small', 'worth', 'price']",small worth price
1,"['food', 'rich', 'order', 'accordingli']",food rich order accordingli
0,"['shower', 'area', 'outsid', 'rins', 'take', 'full', 'shower', 'unless', 'dont', 'mind', 'nude', 'everyon', 'see']",shower area outsid rins take full shower unless dont mind nude everyon see
0,"['servic', 'bit', 'lack']",servic bit lack
0,"['lobster', 'bisqu', 'bussel', 'sprout', 'risotto', 'filet', 'need', 'salt', 'pepperand', 'cours', 'none', 'tabl']",lobster bisqu bussel sprout risotto filet need salt pepperand cours none tabl
0,"['hope', 'bode', 'go', 'busi', 'someon', 'cook', 'come']",hope bode go busi someon cook come
0,"['either', 'cold', 'enough', 'flavor', 'bad']",either cold enough flavor bad
1,"['love', 'bacon', 'wrap', 'date']",love bacon wrap date
1,"['unbeliev', 'bargain']",unbeliev bargain
1,"['folk', 'otto', 'alway', 'make', 'us', 'feel', 'welcom', 'special']",folk otto alway make us feel welcom special
0,"['main', 'also', 'uninspir']",main also uninspir
1,"['place', 'first', 'pho', 'amaz']",place first pho amaz
1,"['wonder', 'experi', 'made', 'place', 'muststop', 'whenev', 'town']",wonder experi made place muststop whenev town
0,"['food', 'isnt', 'bad', 'enough', 'enjoy', 'deal', 'world', 'worstannoy', 'drunk', 'peopl']",food isnt bad enough enjoy deal world worstannoy drunk peopl
1,"['fun', 'chef']",fun chef
0,"['order', 'doubl', 'cheeseburg', 'got', 'singl', 'patti', 'fall', 'apart', 'pictur', 'upload', 'yeah', 'still', 'suck']",order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck
1,"['great', 'place', 'coupl', 'drink', 'watch', 'sport', 'event', 'wall', 'cover', 'tv']",great place coupl drink watch sport event wall cover tv
0,"['possibl', 'give', 'zero', 'star', 'theyd']",possibl give zero star theyd
0,"['descript', 'said', 'yum', 'yum', 'sauc', 'anoth', 'said', 'eel', 'sauc', 'yet', 'anoth', 'said', 'spici', 'mayowel', 'none', 'roll', 'sauc']",descript said yum yum sauc anoth said eel sauc yet anoth said spici mayowel none roll sauc
1,"['id', 'say', 'would', 'hardest', 'decis', 'honestli', 'ms', 'dish', 'tast', 'suppos', 'tast', 'amaz']",id say would hardest decis honestli ms dish tast suppos tast amaz
0,"['roll', 'eye', 'may', 'stay', 'sure', 'go', 'back', 'tri']",roll eye may stay sure go back tri
1,"['everyon', 'attent', 'provid', 'excel', 'custom', 'servic']",everyon attent provid excel custom servic
0,"['horribl', 'dont', 'wast', 'time', 'money']",horribl dont wast time money
1,"['dish', 'quit', 'flavour']",dish quit flavour
0,"['time', 'side', 'restaur', 'almost', 'empti', 'excus']",time side restaur almost empti excus
0,"['wasnt', 'busi', 'either', 'also', 'build', 'freez', 'cold']",wasnt busi either also build freez cold
0,"['like', 'review', 'said', 'couldnt', 'pay', 'eat', 'place']",like review said couldnt pay eat place
0,"['drink', 'took', 'close', 'minut', 'come', 'one', 'point']",drink took close minut come one point
1,"['serious', 'flavor', 'delight', 'folk']",serious flavor delight folk
1,"['much', 'better', 'ayc', 'sushi', 'place', 'went', 'vega']",much better ayc sushi place went vega
1,"['light', 'dark', 'enough', 'set', 'mood']",light dark enough set mood
0,"['base', 'subpar', 'servic', 'receiv', 'effort', 'show', 'gratitud', 'busi', 'wont', 'go', 'back']",base subpar servic receiv effort show gratitud busi wont go back
1,"['owner', 'realli', 'great', 'peopl']",owner realli great peopl
0,"['noth', 'privileg', 'working']",noth privileg working
1,"['greek', 'dress', 'creami', 'flavor']",greek dress creami flavor
0,"['overal', 'dont', 'think', 'would', 'take', 'parent', 'place', 'made', 'similar', 'complaint', 'silent', 'felt']",overal dont think would take parent place made similar complaint silent felt
1,"['pizza', 'good', 'peanut', 'sauc', 'tasti']",pizza good peanut sauc tasti
1,"['tabl', 'servic', 'pretti', 'fast']",tabl servic pretti fast
1,"['fantast', 'servic']",fantast servic
0,"['well', 'wouldv', 'given', 'godfath', 'zero', 'star', 'possibl']",well wouldv given godfath zero star possibl
1,"['know', 'make']",know make
0,"['tough', 'short', 'flavor']",tough short flavor
1,"['hope', 'place', 'stick', 'around']",hope place stick around
0,"['bar', 'vega', 'ever', 'recal', 'charg', 'tap', 'water']",bar vega ever recal charg tap water
1,"['restaur', 'atmospher', 'exquisit']",restaur atmospher exquisit
1,"['good', 'servic', 'clean', 'inexpens', 'boot']",good servic clean inexpens boot
1,"['seafood', 'fresh', 'gener', 'portion']",seafood fresh gener portion
1,"['plu', 'buck']",plu buck
0,"['servic', 'par', 'either']",servic par either
1,"['thu', 'far', 'visit', 'twice', 'food', 'absolut', 'delici', 'time']",thu far visit twice food absolut delici time
1,"['good', 'year', 'ago']",good year ago
0,"['self', 'proclaim', 'coffe', 'cafe', 'wildli', 'disappoint']",self proclaim coffe cafe wildli disappoint
1,"['veggitarian', 'platter', 'world']",veggitarian platter world
1,"['cant', 'go', 'wrong', 'food']",cant go wrong food
1,"['cant', 'beat']",cant beat
1,"['stop', 'place', 'madison', 'ironman', 'friendli', 'kind', 'staff']",stop place madison ironman friendli kind staff
1,"['chef', 'friendli', 'good', 'job']",chef friendli good job
0,"['ive', 'better', 'dedic', 'boba', 'tea', 'spot', 'even', 'jenni', 'pho']",ive better dedic boba tea spot even jenni pho
1,"['like', 'patio', 'servic', 'outstand']",like patio servic outstand
1,"['goat', 'taco', 'didnt', 'skimp', 'meat', 'wow', 'flavor']",goat taco didnt skimp meat wow flavor
0,['think'],think
0,"['mac', 'salad', 'pretti', 'bland', 'get']",mac salad pretti bland get
1,"['went', 'bachi', 'burger', 'friend', 'recommend', 'disappoint']",went bachi burger friend recommend disappoint
0,"['servic', 'stink']",servic stink
0,"['wait', 'wait']",wait wait
0,"['place', 'qualiti', 'sushi', 'qualiti', 'restaur']",place qualiti sushi qualiti restaur
1,"['would', 'definit', 'recommend', 'wing', 'well', 'pizza']",would definit recommend wing well pizza
1,"['great', 'pizza', 'salad']",great pizza salad
0,"['thing', 'went', 'wrong', 'burn', 'saganaki']",thing went wrong burn saganaki
0,"['wait', 'hour', 'breakfast', 'could', 'done', 'time', 'better', 'home']",wait hour breakfast could done time better home
1,"['place', 'amaz']",place amaz
0,"['hate', 'disagre', 'fellow', 'yelper', 'husband', 'disappoint', 'place']",hate disagre fellow yelper husband disappoint place
0,"['wait', 'hour', 'never', 'got', 'either', 'pizza', 'mani', 'around', 'us', 'came', 'later']",wait hour never got either pizza mani around us came later
0,"['dont', 'know', 'slow']",dont know slow
1,"['staff', 'great', 'food', 'delish', 'incred', 'beer', 'select']",staff great food delish incred beer select
0,"['live', 'neighborhood', 'disappoint', 'wont', 'back', 'conveni', 'locat']",live neighborhood disappoint wont back conveni locat
1,"['didnt', 'know', 'pull', 'pork', 'could', 'soooo', 'delici']",didnt know pull pork could soooo delici
1,"['get', 'incred', 'fresh', 'fish', 'prepar', 'care']",get incred fresh fish prepar care
0,"['go', 'gave', 'star', 'rate', 'pleas', 'know', 'third', 'time', 'eat', 'bachi', 'burger', 'write', 'review']",go gave star rate pleas know third time eat bachi burger write review
1,"['love', 'fact', 'everyth', 'menu', 'worth']",love fact everyth menu worth
0,"['never', 'dine', 'place']",never dine place
1,"['food', 'excel', 'servic', 'good']",food excel servic good
1,"['good', 'beer', 'drink', 'select', 'good', 'food', 'select']",good beer drink select good food select
0,"['pleas', 'stay', 'away', 'shrimp', 'stir', 'fri', 'noodl']",pleas stay away shrimp stir fri noodl
0,"['potato', 'chip', 'order', 'sad', 'could', 'probabl', 'count', 'mani', 'chip', 'box', 'probabl', 'around']",potato chip order sad could probabl count mani chip box probabl around
0,"['food', 'realli', 'bore']",food realli bore
1,"['good', 'servicecheck']",good servicecheck
0,"['greedi', 'corpor', 'never', 'see', 'anoth', 'dime']",greedi corpor never see anoth dime
0,"['never', 'ever', 'go', 'back']",never ever go back
0,"['much', 'id', 'like', 'go', 'back', 'cant', 'get', 'pass', 'atroci', 'servic', 'never', 'return']",much id like go back cant get pass atroci servic never return
1,"['summer', 'dine', 'charm', 'outdoor', 'patio', 'delight']",summer dine charm outdoor patio delight
1,"['expect', 'good']",expect good
1,"['fantast', 'food']",fantast food
0,"['order', 'toast', 'english', 'muffin', 'came', 'untoast']",order toast english muffin came untoast
1,"['food', 'good']",food good
0,"['never', 'go', 'back']",never go back
